NVDA
KGC
WST
MKSI
ALL
HOLX
MTSI
CPRT
AGX
EQNR
CVE
TOST
PINS
MET
EME
VRSN
XPO
ROKU
MLM
D
NVT
DRI
BN
LPLA
HUBB
IP
DXCM
PHM
PPL
FLY
RIO
DKS
SGI
AWK
WCN
W
CORZ
FTI
CBOE
CLX
ARGX
AMKR
SMTC
THC
STLD
YUM
TPR
AU
FDS
PAAS
BTI
IQV
HDB
WING
BIIB
TDY
HL
GEHC
VIAV
PR
LII
CAVA
CELH
INFY
CAG
WIX
AFL
ENB
CP
CTRA
MAS
AME
DOV
RMD
NTR
ADM
RJF
VIK
ONTO
CSGP
CMS
NVS
PATH
PPG
GSK
AR
CNC
MEDP
BR
MTB
QSR
RGLD
BROS
PRU
ONON
WSO
BIDU
LVS
FORM
BBY
BNS
BWXT
FFIV
GPC
ENPH
DT
ZBH
MOS
TTMI
MOD
JBHT
SNX
BURL
RL
TPL
NTAP
AEIS
WBS
RRX
AVAV
STRL
MOH
DGX
CLSK
RACE
FOXA
TROW
WSM
ALK
IT
BHP
OVV
NI
WEC
A
ITT
SAIA
FE
SW
ED
GH
RH
CHWY
ACGL
UUUU
GDXU
CNP
PEN
EIX
IBN
TLN
AL
BG
EVR
CDW
ASX
LSCC
DAR
JAZZ
VICI
ALGN
PEG
PKG
TTE
CW
VICR
SSNC
GFS
GWRE
BJ
MTD
HAS
GPN
HIG
BRO
FUTU
USFD
SJM
LYFT
KNX
EQH
AEE
CHD
CNH
FNV
ASND
GAP
NXT
MUSA
AMCR
TECK
EPAM
BBIO
DECK
RBRK
PODD
CM
FLS
WTW
SWK
IOT
DOCU
TXRH
HSBC
APTV
ILMN
HEI
DUOL
EAT
EXR
SN
ZBRA
AER
RRC
SWKS
MDGL
VLTO
CRML
BCS
BAM
AGNC
CLF
SITM
HST
TW
AVB
LH
GME
POOL
TRU
CPAY
NYT
P
FWONK
HII
SPHY
SNA
CACI
TRP
FTV
CHKP
NVMI
ELF
KMX
JHX
IRM
GDDY
PTC
LEU
CG
ROL
SEDG
PFGC
AMPX
CPB
TYL
IVZ
ALLY
DTE
EQR
WCC
DY
FND
NBIX
CE
TOL
GSAT
MGM
SM
BALL
TSN
FCNCA
SIRI
RCAT
KRMN
GNRC
WYNN
BLDR
CRL
PNR
OGN
TEVA
WMS
CCEP
CSL
ATO
GRMN
BAP
ALLE
CNI
EXAS
NVR
CNM
ROIV
TCOM
INVH
DOC
MASI
ERIC
SANM
CART
WRB
STE
PBF
GFI
Z
IEX
NLY
CLH
BEN
RPRX
TRI
FNB
WFRD
CRBG
SEE
AYI
AGI
SQM
JKHY
INCY
SFM
GTLB
LNT
AS
DD
SNY
APG
EQX
ETSY
AES
PFG
JLL
ICLR
ES
OLLI
WLK
VFC
CHRD
PRAX
ACI
CROX
NTNX
ARCC
FHN
DAVE
WHR
LDOS
TAP
BUD
UPST
OC
PVH
IONS
DEO
VTRS
IAG
ARWR
TS
ESE
TPG
BBWI
GEN
TFX
PTEN
BAX
DINO
UHS
FROG
YPF
RPM
CENX
CCK
ARE
H
CINF
UDR
FRO
HBM
PAYC
NWSA
GFL
SF
UMC
UEC
BOOT
BAH
RGEN
SSRM
BXP
EWBC
PNFP
BMO
PCOR
TECH
IESC
SAN
RBA
VIST
MAA
WY
MTDR
LBRT
SPXC
PII
MTCH
COO
ZETA
ARMK
FBIN
TPH
MEOH
HXL
EXPD
AXSM
MTN
CHE
RUN
MKL
TIGO
ESI
CYTK
EG
ESLT
RBC
VMI
SPSB
VSEC
REG
ANF
KIM
TRMB
ELAN
IFF
DTM
RS
JHG
ATMU
CVLT
AVY
CR
ALC
CFLT
MANH
HTHT
GGG
UBS
EXEL
SHAK
PNW
GLPI
BMI
CRUS
LW
NKTR
EMN
HRL
EGO
UNM
NOV
IRDM
MNDY
UI
PEGA
SCI
BTU
M
FLR
WH
CWAN
MHK
ACLX
AMG
XP
UAMY
TXT
IDCC
WEX
S
SONY
ZION
DB
ARW
VOYA
VSCO
EHC
DVA
OHI
KEX
LMND
ALV
RELX
LECO
CRGY
TMDX
CHDN
MLI
CZR
SUI
GMED
SEIC
SARO
WPC
PRIM
LWLG
VAL
PLNT
NDSN
RVTY
BWA
XPEV
R
HALO
AOS
CRSP
AEO
JEF
ACM
J
RYAAY
ALSN
VLY
WTRG
REXR
G
EVRG
PARR
OSCR
LASR
TVTX
VNOM
SLM
ORA
IBP
MYRG
MGA
BMRN
URBN
CELC
NXST
MORN
VSAT
OSK
HMY
ELS
ADC
ALKS
LBRDK
SMMT
CGNX
ITRI
BNTX
LAD
ACLS
FNF
MT
CUBE
HYMC
RNR
LFUS
AESI
TMHC
HQY
SPHR
PCTY
YOU
VGLT
AMH
AVT
SITE
SYRE
COGT
TTEK
LPX
RHI
SLAB
ESTC
EDV
FRPT
HLNE
QRVO
AGCO
NEU
SIMO
MUR
CGON
HLI
SRRK
WOLF
BYD
FCFS
COKE
COLB
STNG
BCE
WTS
SGML
WAL
QLYS
GLNG
BIRK
ASO
PLXS
EXP
AIT
KNSL
BIO
SOLV
HSIC
MIDD
CNX
STNE
LOGI
FOX
SYM
DBX
NPO
GL
NE
ING
EGP
DOCS
TM
BRX
OGE
ONB
MC
CUK
ESAB
AIZ
BPOP
AWI
SON
DX
IDA
BSY
CWST
NGG
BTSG
BKH
AAP
VKTX
PRMB
MMYT
HOG
BKSY
HRI
PTGX
CALM
TDW
GKOS
KVYO
BILL
SSB
AAON
MSGS
KRC
ACHC
ALHC
FER
TU
FOUR
OSIS
LEVI
OLN
AN
CVCO
HCC
SNEX
UMBF
BRZE
ENSG
LSTR
PCVX
MIRM
VC
CX
KRYS
TWST
SIG
POST
CMC
RYAN
SRAD
BTDR
CACC
CFR
PENN
BNL
TKR
IMO
ST
MRX
SKM
TNGX
ALGM
NTES
SPTI
KGS
L
CAMT
LKQ
BRKR
LAMR
HUN
TEX
UCTT
MKTX
TREX
QGEN
MAT
MFC
DNTH
LRN
WTFC
OMF
NCNO
DHT
NTLA
ADMA
BC
CSTM
ECG
MGY
TGTX
PTCT
CHH
EXLS
GIL
ZWS
VVV
LEA
TNL
AXTA
ULS
VSH
TTC
KBH
HRB
MIR
CAKE
BEAM
YUMC
LAZ
PB
MTH
RGA
DOX
NFG
SYNA
PATK
OLED
SMG
ASB
UMAC
GVA
GLOB
TENB
GPOR
MSM
NVST
FAF
RELY
RYTM
NUVL
SBSW
CBSH
CNK
UNF
ORI
POR
LOAR
ERY
LNC
POWI
PSN
MUFG
RCI
TTAN
BFH
GXO
VOD
NICE
GDS
AFG
KSS
NXE
NN
FLNC
PJT
COCO
CC
BANC
PLPC
CTRE
SXI
SOC
OBDC
JXN
RNG
BEKE
THO
INGR
CPA
FCN
NWG
TXG
SRPT
APGE
HWC
CRC
SLG
OZK
APPF
CALX
VRDN
NOG
YETI
GPGI
AM
AXS
BFAM
BOX
TAK
WMG
VECO
LNTH
ATR
LTH
STEP
ENS
SSD
WK
AMSC
VRNS
ERIE
SAM
PBA
WAY
PRI
BZ
INSP
MAC
RRR
AROC
BW
KBR
DBRG
DBD
VIRT
DCI
DDS
DIOD
GTES
LCII
THG
ELVN
DK
LI
ABG
ACMR
IDYA
RHP
KAI
SEZL
CPRI
BRBR
FSS
RLAY
AMR
UGI
SIGI
DXYZ
LEGN
EEFT
TFII
CORT
BCO
GNTX
SMPL
BVN
XENE
IRTC
FMX
WRBY
LGND
OS
BEPC
KD
CPRX
MTG
AIR
EBC
BOKF
IPGP
EDU
FULT
SPIR
SFD
BILI
WHD
NATL
WT
WSC
FHI
FHB
SXT
KLIC
WDFC
PFSI
KYMR
LIVN
PI
OPCH
SBS
GGAL
CUZ
ASST
TECS
VERA
ANAB
SMFG
BKU
EC
RDNT
BELFB
LAUR
AMTM
PBI
BKD
DFTX
MMS
REZI
KNTK
NNE
OII
INDV
CLMT
FMC
PAC
COHU
RYN
HMC
AMX
SLF
TCBI
PK
TAL
KALU
DSGX
GMAB
AXGN
TPB
INBX
TDC
IMVT
FIGS
ICHR
IAC
CVBF
AGIO
NWS
WGS
FIBK
KTB
STAG
EXTR
OUST
LQDA
SHC
GDXD
PENG
KNF
RARE
PSMT
EPR
LEG
BBVA
AMBA
RLI
NOVT
DOO
CRNX
SWX
MMSI
TYRA
MSA
FTS
HP
INOD
SAIC
CNXC
UFPT
BILS
ORLA
GPIX
MATX
GPI
IMAX
TNK
PAG
MRCY
UBSI
HAE
PPTA
PLAB
KMT
LC
PAGS
GRAL
LOPE
QDEL
ABCB
MAIN
CRI
XRAY
BCPC
ALGT
OGS
GATX
KNSA
DRS
SHOO
CRK
CLDX
TRIP
FUL
SOBO
SBRA
WTM
BDC
LPTH
PGY
ENVA
ADTN
DXC
TRNO
PPC
SGHC
ITGR
HOMB
INSW
EYE
FOLD
DJCO
SKYW
PUMP
LION
CECO
SKYT
LIF
NWE
MAN
BIPC
VCTR
TPC
MWA
PRGS
FTDR
ACAD
FSK
ZG
GLBE
SKY
E
FBP
OR
HGV
PRKS
